"ReportedInactiveID","Alias","AliasType"
13,"HETOXIDE HC-25","SYN"
13,"HYDROGENATED CASTOR OIL","PT"
13,"JEECHEM CA-30","SYN"
13,"JEECHEM CAH-25","SYN"
13,"KOLLIPHOR RH40","SYN"
13,"LANAETEX CO-25","SYN"
13,"LANAETEX CO-40","SYN"
13,"LUBLIWAX","SYN"
13,"LUMULSE CO-40","SYN"
13,"LUMULSE HCO-25","SYN"
13,"MERGITAL EL 35","SYN"
13,"MERPOXEN HRO 250","SYN"
13,"NIKKOL CO-40TX","SYN"
13,"OPALWAX","SYN"
13,"PEG-25 HYDROGENATED CASTOR OIL","PT"
13,"PEG-30 CASTOR OIL","PT"
13,"PEG-35 CASTOR OIL","SYN"
13,"PEG-36 CASTOR OIL","SYN"
13,"PEG-40 CASTOR OIL","PT"
13,"PEG-40 HYDROGENATED CASTOR OIL","SYN"
13,"PEG-54 HYDROGENATED CASTOR OIL","PT"
13,"PEG-55 HYDROGENATED CASTOR OIL","SYN"
13,"PEG-60 HYDROGENATED CASTOR OIL","PT"
13,"PEGNOL HC-25","SYN"
13,"POLYOXYL 25 HYDROGENATED CASTOR OIL","SYN"
13,"POLYOXYL 30 CASTOR OIL","SYN"
13,"POLYOXYL 35 CASTOR OIL","PT"
13,"POLYOXYL 36 CASTOR OIL","SYN"
13,"POLYOXYL 40 CASTOR OIL","SYN"
13,"POLYOXYL 40 HYDROGENATED CASTOR OIL","PT"
13,"POLYOXYL 54 HYDROGENATED CASTOR OIL","SYN"
13,"POLYOXYL 55 HYDROGENATED CASTOR OIL","SYN"
13,"POLYOXYL 60 HYDROGENATED CASTOR OIL","SYN"
13,"PROTACHEM CO 30","SYN"
13,"PROTACHEM CO 40","SYN"
13,"PROTACHEM HCO 25","SYN"
13,"PROTACHEM HCO-25","SYN"
13,"SABOWAX EL 30","SYN"
13,"SIMULSOL 1292","SYN"
13,"SYMPATENS-TRH/250","SYN"
13,"TAGAT CH 40","SYN"
13,"TAGAT CH 60","SYN"
13,"ZF94AP8MEY","UNII"
14,"4AQJ3LG584","UNII"
14,"4SBE571RQF","UNII"
14,"A512 TUDOR BLUEBELL","SYN"
14,"FD&C BLUE #2/ INDIGO CARMINE AL","NEW"
14,"ACID BLUE 74","SYN"
14,"ACID BLUE 9","SYN"
14,"AO1","SYN"
14,"AO2","SYN"
14,"AO205","SYN"
14,"BLEU COVALAC W 6504","SYN"
14,"BLUDIGO","SYN"
14,"BLUE 1","SYN"
14,"BLUE 1 LAKE","SYN"
14,"BLUE 2","SYN"
14,"BLUE D&C NO. 1","SYN"
14,"BLUE D&C NO. 2","SYN"
14,"BLUE FD&C LAKE NO 1","SYN"
14,"BLUE FD&C NO. 1","SYN"
14,"BLUE FD&C NO. 1 ALUMINUM LAKE","SYN"
14,"BLUE FD&C NO. 2","SYN"
14,"BLUE FD&C NO.1","SYN"
14,"BLUE FD&C NO.2","SYN"
14,"BLUE NO. 1","SYN"
14,"FD&C BLUE #2 HT 11-14%","NEW"
14,"BRILLIANT BLUE","SYN"
14,"BRILLIANT BLUE FCF","SYN"
14,"C.I. 42595 PHOSPHOTUNGSTOMOLYBDATE","SYN"
14,"FD & C BLUE #2 ALUMINUM LAKE","NEW"
14,"C.I. 73015","SYN"
14,"C.I. 75781","SYN"
14,"C.I. ACID BLUE 74","SYN"
14,"C.I. FOOD BLUE 1-ALUMINUM LAKE","SYN"
14,"C.I. FOOD BLUE 2 ALUMINUM LAKE","SYN"
14,"C.I. PIGMENT BLUE 1","SYN"
14,"C.I. PIGMENT BLUE 78","SYN"
14,"C.I.FOOD BLUE 1","SYN"
14,"C39-4433 BLUE LAKE","SYN"
14,"CALISHA ART DEC BLUE 1 LAKE","SYN"
14,"CASCADE BLUE","SYN"
14,"CI 42090","SYN"
14,"CI 42595 PHOSPHOTUNGSTOMOLYBDATE","SYN"
14,"CI 73015","SYN"
14,"CI-FOOD BLUE 2","SYN"
14,"COVACAP BLEU W 6102","SYN"
14,"D&C BLUE NO. 1","SYN"
14,"D&C BLUE NO. 2","SYN"
14,"D3741U8K7L","UNII"
14,"DYE BRILLIANT BLUE","SYN"
14,"DYE FDC BLUE NO. 1 ALUMINIUM LAKE","SYN"
14,"DYE FDC BLUE NO. 1 H.T. ALUMINIUM LAKE","SYN"
14,"DYE FDC BLUE NO. 2 ALUMINIUM LAKE","SYN"
14,"E132","SYN"
14,"E133","SYN"
14,"F D & C BLUE NO. 1","SYN"
14,"F D & C BLUE NO. 2","SYN"
14,"FD & C blue #2/indigo carmine","SYN"
14,"FD & C Blue No. # 1","SYN"
14,"FD AND C BLUE NO. 1 LAKE","SYN"
14,"FD&C BLUE LAKE NO 1","SYN"
14,"FD&C BLUE NO. 1","PT"
14,"FD&C BLUE NO. 1 ALUMINUM LAKE","PT"
14,"FD&C BLUE NO. 1-ALUMINUM LAKE","SYN"
14,"FD&C BLUE NO. 2","PT"
14,"FD&C BLUE NO. 2--ALUMINUM LAKE","PT"
14,"FD&C BLUE NO.1","SYN"
14,"FD&C BLUE NO.2","SYN"
14,"FDC BLUE NO. 1","SYN"
14,"FDC BLUE NO. 1-ALUMINUM LAKE","SYN"
14,"H3R47K3TBD","UNII"
14,"INDIGO CARMINE","SYN"
14,"INDIGO CARMINE-","SYN"
14,"INDIGOCARMINE","SYN"
14,"INDIGOTINDISULFONATE SODIUM","PT"
14,"INDIGOTINDISULPHONATE SODIUM","SYN"
14,"INDIGOTINE","SYN"
14,"INDIGOTINE 85%","SYN"
14,"J9EQA3S2JM","UNII"
14,"JAPAN BLUE 1 ALUMINUM LAKE","SYN"
14,"L06K8R7DQK","UNII"
14,"PIGMENT BLUE 1","PT"
14,"PIGMENT BLUE 78","SYN"
14,"UNIPURE BLUE LC 621","SYN"
14,"VIBRACOLOR BLUE ABL9","SYN"
14,"fd&c blue no. 2 lake","NEW"
14,"fd&c blue no 2","NEW"
14,"fd&c blue no. 1 powder","NEW"
15,"07XHK4SAV6","UNII"
15,"08744Z6JNY","UNII"
15,"1678RKX8RT","UNII"
15,"2LRS185U6K","UNII"
15,"2S42T2808B","UNII"
15,"481744AI4O","UNII"
15,"767IP0Y5NH","UNII"
15,"8TL7LH93FM","UNII"
15,"91OZU993LX","UNII"
15,"9DBA0SBB0L","UNII"
15,"ACID PHLOXINE PB","SYN"
15,"ACID RED 33","SYN"
15,"ACID RED 51","SYN"
15,"ACID RED 92","SYN"
15,"AKA201","SYN"
15,"AKA202","SYN"
15,"AKA218","SYN"
15,"AKA226","SYN"
15,"AKA227","SYN"
15,"AKA228","SYN"
15,"AKA3","SYN"
15,"AKA504","SYN"
15,"ALLURA RED","SYN"
15,"ALLURA RED C.I.16035","SYN"
15,"AZOFUCHSIN","SYN"
15,"BRILLIANT CARMINE 6B","SYN"
15,"C.I. 15850","SYN"
15,"C.I. 45410","SYN"
15,"C.I. 45430","SYN"
15,"C.I. 75470","SYN"
15,"FD & C RED #40 ALUMINUM LAKE","NEW"
15,"C.I. ACID RED 51","SYN"
15,"C.I. ACID RED 92","SYN"
15,"C.I. FOOD RED 14","SYN"
15,"C.I. NATURAL RED 4","SYN"
15,"C.I. PIGMENT RED 174","SYN"
15,"C.I. PIGMENT RED 48","SYN"
15,"C.I. PIGMENT RED 5","SYN"
15,"C.I. SOLVENT RED 48","SYN"
15,"CARMINE 5297","SYN"
15,"CARMINE LAKE 2A","SYN"
15,"CARMINE RED FB","SYN"
15,"CARMINIC ACID","PT"
15,"CI 12085","SYN"
15,"CI 12490","SYN"
15,"CI 14700","SYN"
15,"CI 15850","SYN"
15,"CI 15865","SYN"
15,"CI 16035","SYN"
15,"CI 17200","SYN"
15,"CI 45410","SYN"
15,"CI 45430","SYN"
15,"CI 73360","SYN"
15,"CI 75470","SYN"
15,"CID8Z8N95N","UNII"
15,"CI-FOOD RED 17","SYN"
15,"CI-NATURAL RED 4","SYN"
15,"COCHINEAL","PT"
15,"COCHINEAL CARMINE","SYN"
15,"COCHINEAL EXTRACT","SYN"
15,"COCHINEAL RED PWD","SYN"
15,"COCHINEAL SCALE COLORANT","SYN"
15,"COGILOR RED 313.00","SYN"
15,"CRIMSON 4R","SYN"
15,"CURRY RED","SYN"
15,"CYANOSIN","SYN"
15,"D & C RED NO. 27","SYN"
15,"D & C RED NO. 28","SYN"
15,"D&C Red #30","SYN"
15,"D&C Red #7","SYN"
15,"D&C RED 27","SYN"
15,"D&C RED 7 CALCIUM LAKE","SYN"
15,"D&C RED NO. 21","PT"
15,"D&C RED NO. 22","PT"
15,"D&C RED NO. 27","PT"
15,"D&C RED NO. 27 ALUMINUM LAKE","PT"
15,"D&C RED NO. 27 DISODIUM SALT","SYN"
15,"D&C RED NO. 28","PT"
15,"D&C RED NO. 30","PT"
15,"D&C RED NO. 33","PT"
15,"D&C RED NO. 36","PT"
15,"D&C RED NO. 40","SYN"
15,"D&C RED NO. 6","PT"
15,"D&C RED NO. 6 BARIUM LAKE","PT"
15,"D&C RED NO. 7","PT"
15,"D.C. RED NO. 33","SYN"
15,"DACTYLOPIUS CACTI COLORANT","SYN"
15,"DACTYLOPIUS COCCUS COLORANT","SYN"
15,"DC RED NO. 21","SYN"
15,"DC RED NO. 22","SYN"
15,"DC RED NO. 27","SYN"
15,"DC RED NO. 27-ALUMINUM LAKE","SYN"
15,"DC RED NO. 28","SYN"
15,"DC RED NO. 30","SYN"
15,"DC RED NO. 33","SYN"
15,"DC RED NO. 36","SYN"
15,"DC RED NO. 6","SYN"
15,"DC RED NO. 6-BARIUM LAKE","SYN"
15,"DC RED NO. 7","SYN"
15,"DC RED NO. 7-CALCIUM LAKE","SYN"
15,"DYE DC RED NO. 21","SYN"
15,"DYE DC RED NO. 27","SYN"
15,"DYE DC RED NO. 27 ALUMINIUM LAKE","SYN"
15,"DYE DC RED NO. 30","SYN"
15,"DYE DC RED NO. 6","SYN"
15,"DYE DC RED NO. 6 BARIUM LAKE","SYN"
15,"DYE DC RED NO. 7 CALCIUM LAKE","SYN"
15,"DYE RED NO. 27 ALUMINIUM LAKE","SYN"
15,"DYE RED NO. 30","SYN"
15,"FD&C RED #40 LAKE","NEW"
15,"E127","SYN"
15,"E129","SYN"
15,"ECW0LZ41X8","UNII"
15,"EOSIN BLUE","SYN"
15,"ERYTHROSINE","SYN"
15,"ERYTHROSINE B","SYN"
15,"ERYTHROSINE SODIUM","SYN"
15,"ERYTHROSINE SODIUM ANHYDROUS","PT"
15,"F D & C RED NO. 3","SYN"
15,"F D & C RED NO. 40","SYN"
15,"FANCY RED","SYN"
15,"FD & C Red No. 40;","SYN"
15,"FD&C Red # 3","SYN"
15,"FD&C RED 3","SYN"
15,"FD&C RED 4","SYN"
15,"FD&C RED 40","SYN"
15,"FD&C RED NO. 3","PT"
15,"FD&C RED NO. 4","PT"
15,"FD&C RED NO. 4 FREE ACID","PT"
15,"FD&C RED NO. 40","PT"
15,"FD&C RED NO.40","SYN"
15,"FDC RED 40 DYE","SYN"
15,"FDC RED NO. 4","SYN"
15,"FDC RED NO. 40","SYN"
15,"FOOD RED 1","SYN"
15,"FOOD RED 1 FREE ACID","SYN"
15,"FOOD RED 12","SYN"
15,"FOOD RED 14","SYN"
15,"JAPAN FOOD RED NO. 40","SYN"
15,"JAPAN RED 104","SYN"
15,"JAPAN RED 104 ALUMINUM LAKE","SYN"
15,"JAPAN RED 226","SYN"
15,"JAPAN RED 3","SYN"
15,"JAPAN RED 40","SYN"
15,"K4XZD9W99K","UNII"
15,"LITHOL RUBIN B","SYN"
15,"LITHOL RUBINE BK","SYN"
15,"LITHOLRUBINE","SYN"
15,"NAPHTHOL RED DEEP 10460","SYN"
15,"NATURAL RED 2180","SYN"
15,"NATURAL RED 4","SYN"
15,"D & C RED #30","NEW"
15,"OE8ZA0KN9Z","UNII"
15,"PERMANENT CARMINE FB","SYN"
15,"PERMANENT CARMINE FB 01","SYN"
15,"PHLOXIN B","SYN"
15,"PHLOXINE B","SYN"
15,"PHLOXINE O","SYN"
15,"PIGMENT RED 174","SYN"
15,"PIGMENT RED 181","SYN"
15,"PIGMENT RED 4","SYN"
15,"PIGMENT RED 48","PT"
15,"PIGMENT RED 48 DISODIUM SALT","SYN"
15,"PIGMENT RED 5","PT"
15,"PIGMENT RED 57","SYN"
15,"PN2ZH5LOQY","UNII"
15,"PONCEAU SX","SYN"
15,"PSEUDOCOCCUS SIGNORETI COLORANT","SYN"
15,"RED 1799","SYN"
15,"RED 21","SYN"
15,"RED 22","SYN"
15,"RED 230","SYN"
15,"RED 27","SYN"
15,"RED 28","SYN"
15,"RED 3","SYN"
15,"RED 30","SYN"
15,"RED 33","SYN"
15,"RED 36","SYN"
15,"RED 4","SYN"
15,"RED 40","SYN"
15,"RED 6","SYN"
15,"RED 6 BARIUM LAKE","SYN"
15,"RED 7","SYN"
15,"RED D&C 27","SYN"
15,"RED D&C 7 CALCIUM LAKE","SYN"
15,"RED D&C NO. 21","SYN"
15,"RED D&C NO. 22","SYN"
15,"RED D&C NO. 27","SYN"
15,"RED D&C NO. 27 ALUMINUM LAKE","SYN"
15,"RED D&C NO. 27 DISODIUM SALT","SYN"
15,"RED D&C NO. 28","SYN"
15,"RED D&C NO. 30","SYN"
15,"RED D&C NO. 33","SYN"
15,"RED D&C NO. 36","SYN"
15,"RED D&C NO. 40","SYN"
15,"RED D&C NO. 6","SYN"
15,"RED D&C NO. 6 BARIUM LAKE","SYN"
15,"RED D&C NO. 7","SYN"
15,"RED FD&C 3","SYN"
15,"RED FD&C 4","SYN"
15,"RED FD&C 40","SYN"
15,"RED FD&C NO. 3","SYN"
15,"RED FD&C NO. 4","SYN"
15,"RED FD&C NO. 4 FREE ACID","SYN"
15,"RED FD&C NO. 40","SYN"
15,"RED FD&C NO.40","SYN"
15,"RED NO. 104","SYN"
15,"SAN-EI GEN SAN RED 1","SYN"
15,"SCARLET GN","SYN"
15,"SOLVENT RED 48","SYN"
15,"SUN RED NO. 1","SYN"
15,"TETRACHLOROEOSIN","SYN"
15,"TETRACHLOROTETRABROMOFLUORESCEIN","SYN"
15,"TZ8Z31B35M","UNII"
15,"VAT RED 1","SYN"
15,"WJE3T5596E","UNII"
15,"WZB9127XOA","UNII"
15,"X3W0AM1JLX","UNII"
15,"YELLOW NO. 201","SYN"
15,"ZK64F7XSTX","UNII"
15,"D&C Red #30","NEW"
15,"fd&c red #40 aluminum lake","NEW"
16,"FD&C YELLOW #6 LAKE","NEW"
16,"35SW5USQ3G","UNII"
16,"44F3HYL954","UNII"
16,"93X55PE38X","UNII"
16,"ACID YELLOW 3","SYN"
16,"FD&C YELLOW #6/SUNSET YELLOW FCF AL","NEW"
16,"ACID YELLOW 73 SODIUM SALT","SYN"
16,"BASOVIT YELLOW-095E","SYN"
16,"C YELLOW NO. 10","SYN"
16,"C.I. 45350","SYN"
16,"C.I. 47000","SYN"
16,"C.I. 56300","SYN"
16,"C.I. ACID YELLOW 3","SYN"
16,"C.I. ACID YELLOW 3 DISODIUM SALT","SYN"
16,"C.I. ACID YELLOW 73","SYN"
16,"C.I. PIGMENT YELLOW 138","SYN"
16,"CI 15985","SYN"
16,"CI 45350","SYN"
16,"CI 47000","SYN"
16,"CI 47005","SYN"
16,"CI 56300","SYN"
16,"CI FOOD YELLOW 13","SYN"
16,"CI-FOOD YELLOW 3","SYN"
16,"COGILOR YELLOW-112.12","SYN"
16,"COLOUR INDEX NO. 15985","SYN"
16,"CQ3XH3DET6","UNII"
16,"CRELBORANGE S","SYN"
16,"CX2Y91T7FY","UNII"
16,"D & C YELLOW #10 ALUMINUM LAKE","SYN"
16,"D & C YELLOW NO. 10","SYN"
16,"D & C Yellow No.10","SYN"
16,"D&C YELLOW NO. 10","PT"
16,"D&C YELLOW NO. 10 ALUMINUM LAKE","PT"
16,"D&C YELLOW NO. 10-ALUMINUM LAKE","SYN"
16,"D&C YELLOW NO. 11","PT"
16,"D&C YELLOW NO. 6","SYN"
16,"D&C YELLOW NO. 8","SYN"
16,"DC YELLOW NO. 10","SYN"
16,"DC YELLOW NO. 10-ALUMINUM LAKE","SYN"
16,"DC YELLOW NO. 11","SYN"
16,"DYE DC YELLOW NO. 10 ALUMINIUM LAKE","SYN"
16,"D&C YELLOW LAKE #10","NEW"
16,"E-104","SYN"
16,"EUROCERT QUINOLINE YELLOW-311744","SYN"
16,"F D & C YELLOW NO. 6","SYN"
16,"FD&C YELLOW 6","SYN"
16,"FD&C YELLOW NO. 6","PT"
16,"FD&C YELLOW NO.6","SYN"
16,"FDC YELLOW NO. 6","SYN"
16,"FLUORESCEIN DISODIUM SALT","SYN"
16,"FLUORESCEIN SODIUM","PT"
16,"FOOD YELLOW 13","SYN"
16,"H77VEI93A8","UNII"
16,"INS NO.104","SYN"
16,"KI202","SYN"
16,"KI203","SYN"
16,"KI204","SYN"
16,"KI5","SYN"
16,"NEELICOL QUINOLINE YELLOW-WS","SYN"
16,"ORANGE YELLOW S","SYN"
16,"PIGMENT YELLOW 138","PT"
16,"QUINOLINE YELLOW","SYN"
16,"QUINOLINE YELLOW ALUMINIUM LAKE","SYN"
16,"QUINOLINE YELLOW SS","SYN"
16,"QUINOLINE YELLOW WS","SYN"
16,"QUINOLINE YELLOW-104","SYN"
16,"QUINOPHTHALONE YELLOW","SYN"
16,"RESORCINOL PHTHALEIN SODIUM","SYN"
16,"SOLUBLE FLUORESCEIN","SYN"
16,"SOLVENT YELLOW 33","SYN"
16,"SUNSET YELLOW","SYN"
16,"SUNSET YELLOW FCF","SYN"
16,"URANIN","SYN"
16,"URANINE","SYN"
16,"URANINE WSS","SYN"
