"NDC11","HICSEQNO","ReportedInactiveID","Note"
"16729021616","010138",14,""
"16729021715","",0,"No Inactive Ingredients Reported"
"16729021716","",0,"No Inactive Ingredients Reported"
"16729021810","002432",24,""
"16729021810","009290",13,""
"16729021815","002432",24,""
"16729021815","009290",13,""
"16729021816","002432",24,""
"16729021816","009290",13,""
"16729021975","002432",24,""
"16729021975","009290",13,""
"16729022130","001539",22,""
"16729022130","002468",39,""
"16729022130","018822",170,""
"16729022230","002551",168,""
"16729022230","018822",170,""
"16729022361","001539",22,""
"16729022361","002468",39,""
"16729022361","002551",168,""
"16729022361","018822",170,""
"16729022405","",0,"No Inactive Ingredients Reported"
"16729022501","002432",24,""
"16729022501","002537",169,""
"16729022501","007989",157,""
"16729022516","002432",24,""
"16729022516","002537",169,""
"16729022516","007989",157,""
"16729022517","002432",24,""
"16729022517","002537",169,""
"16729022517","007989",157,""
"16729022601","002432",24,""
"16729022601","002537",169,""
"16729022601","007989",157,""
"16729022616","002432",24,""
"16729022616","002537",169,""
"16729022616","007989",157,""
"16729022701","002432",24,""
"16729022701","002537",169,""
"16729022701","007989",157,""
"16729022716","002432",24,""
"16729022716","002537",169,""
